"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Record__c","LLC_BI__lookupKey__c"
"a3fDm000000079zIAA","","a5xDm000000CouG","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBQMA0","a18Dm000000H4a7IAC","42590751928114424"
"a3fDm00000007A0IAI","","a5xDm000000CouH","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4a7IAC","42983482644943786"
"a3fDm00000007A1IAI","","a5xDm000000CouI","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBaMAK","a18Dm000000H4a9IAC","42245079637261386"
"a3fDm00000007A2IAI","","a5xDm000000CouJ","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4a9IAC","42318696620086815"
"a3fDm00000007A3IAI","","a5xDm000000CouK","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu8kMAC","a18Dm000000H4ZvIAK","42849386027201913"
"a3fDm00000007A4IAI","","a5xDm000000CouL","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7WMAS","a18Dm000000H4a8IAC","42039367529429173"
"a3fDm00000007A5IAI","","a5xDm000000CouM","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBbMAK","a18Dm000000H4ZKIA0","42957242792818902"
"a3fDm00000007A6IAI","","a3jDm000000pIyV","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7jMAC","a18Dm000000H4ZKIA0","42175622407179931"
"a3fDm00000007A7IAI","","a5xDm000000CouN","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBcMAK","a18Dm000000H4ZLIA0","42100141055129971"
"a3fDm00000007A8IAI","","a3jDm000000pIyW","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7jMAC","a18Dm000000H4ZLIA0","42296416219044389"
