"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3YDm000000Gu92MAC","005Dm000000nnayIAA","","UCA Cash Flow Coverage","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","UCA_Cash_Flow_Coverage_ACCTGRD"
"a3YDm000000Gu93MAC","005Dm000000nnayIAA","","EBITDA / Int Exp + PP CPLTD","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","EBITDA_Int_Exp__PP_CPLTD_ACCTGRD"
"a3YDm000000Gu94MAC","005Dm000000nnayIAA","","Borrowed Funds to EBITDA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Borrowed_Funds_to_EBITDA_ACCTGRD"
"a3YDm000000Gu95MAC","005Dm000000nnayIAA","","EBITDA - Annualized","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","EBITDA_Annualized_ACCTGRD"
"a3YDm000000Gu96MAC","005Dm000000nnayIAA","","Gross Margin","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Gross_Margin_ACCTGRD"
"a3YDm000000Gu97MAC","005Dm000000nnayIAA","","Operating Profit Margin","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Operating_Profit_Margin_ACCTGRD"
"a3YDm000000Gu98MAC","005Dm000000nnayIAA","","Operating Profit Margin (plus Depr)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Operating_Profit_Margin_plus_Depr_ACCTGRD"
"a3YDm000000Gu99MAC","005Dm000000nnayIAA","","Dividend Payout Rate","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Dividend_Payout_Rate_ACCTGRD"
"a3YDm000000Gu9AMAS","005Dm000000nnayIAA","","Total Assets to Net Sales","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Total_Assets_to_Net_Sales_ACCTGRD"
"a3YDm000000Gu9BMAS","005Dm000000nnayIAA","","Total Liabilities Growth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Total_Liabilities_Growth_ACCTGRD"
