"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__CFG_ConfigKeys__c","LLC_BI__CFG_ConfigValue__c","LLC_BI__Product_Type__c","LLC_BI__lookupKey__c","LLC_BI__Product__c","LLC_BI__sObject_Type__c"
"a0CDm000000kMscMAE","","CFG-CKJ00014872","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giebMAA","a0EDm000000dJlWMAU","","a0CDm000000kMuIMAU","",""
"a0CDm000000kMsdMAE","","CFG-CKJ00014873","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giecMAA","a0EDm000000dJlSMAU","","a0CDm000000kMuJMAU","",""
"a0CDm000000kMseMAE","","CFG-CKJ00014874","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000gieeMAA","a0EDm000000dJlQMAU","","a0CDm000000kMuKMAU","",""
"a0CDm000000kMsfMAE","","CFG-CKJ00014875","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000gieaMAA","a0EDm000000dJlVMAU","","a0CDm000000kMuLMAU","",""
"a0CDm000000kMsgMAE","","CFG-CKJ00014876","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giedMAA","a0EDm000000dJlcMAE","","a0CDm000000kMuMMAU","",""
"a0CDm000000kMshMAE","","CFG-CKJ00014877","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giedMAA","a0EDm000000dJldMAE","","a0CDm000000kMuNMAU","",""
"a0CDm000000kMsiMAE","","CFG-CKJ00014878","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giedMAA","a0EDm000000dJlkMAE","","a0CDm000000kMuOMAU","",""
"a0CDm000000kMsjMAE","","CFG-CKJ00014879","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giedMAA","a0EDm000000dJlqMAE","","a0CDm000000kMuPMAU","",""
"a0CDm000000kMskMAE","","CFG-CKJ00014880","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giedMAA","a0EDm000000dJleMAE","","a0CDm000000kMuQMAU","",""
"a0CDm000000kMslMAE","","CFG-CKJ00014882","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giedMAA","a0EDm000000dJlUMAU","","a0CDm000000kMuRMAU","",""
"a0CDm000000kMsmMAE","","CFG-CKJ00014881","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giedMAA","a0EDm000000dJlgMAE","","a0CDm000000kMuSMAU","",""
"a0CDm000000kMsnMAE","","CFG-CKJ00014884","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giedMAA","a0EDm000000dJljMAE","","a0CDm000000kMuUMAU","",""
