"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Category_Name__c","LLC_BI__Is_Active__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__Description__c"
"a1DDm000000kUpxMAE","","Financial Institution","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Financial_Institution","","This field indicates of the name of the Financial Institution that is submitting the HMDA data."
"a1DDm000000kUpyMAE","","Respondent Name","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Respondent_Name","","This field indicates the name of the Financial Institution submitting the HMDA data."
"a1DDm000000kUpzMAE","","Respondent State","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Respondent_State","","This field indicates the 2 character State code of the Financial Institution submitting the HMDA data. For example, for North Carolina enter NC."
"a1DDm000000kUq0MAE","","Respondent Address","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Respondent_Address","","This field indicates the address of the Financial Institution submitting the HMDA data."
"a1DDm000000kUq1MAE","","Respondent City","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Respondent_City","","This field indicates the City of the Financial Institution submitting the HMDA data."
"a1DDm000000kUq2MAE","","Respondent Zip","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Respondent_Zip","","This field indicates the ZIP of the Financial Institution submitting the HMDA data."
"a1DDm000000kUq3MAE","","Parent Name","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Parent_Name","","If respondent is a mortgage banking subsidiary (MBS) or a non-depository institution that has an affiliation with a depository institution, this field indicates the name of the Parent Financial Institution submitting the HMDA data."
"a1DDm000000kUq4MAE","","Parent Address","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Parent_Address","","If respondent is a mortgage banking subsidiary (MBS) or a non-depository institution that has an affiliation with a depository institution, this field indicates the address of the Parent Financial Institution submitting the HMDA data."
"a1DDm000000kUq5MAE","","Parent City","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Parent_City","","If respondent is a mortgage banking subsidiary (MBS) or a non-depository institution that has an affiliation with a depository institution, this field indicates the city of the Parent Financial Institution submitting the HMDA data."
"a1DDm000000kUq6MAE","","Parent State","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Parent_State","","If respondent is a mortgage banking subsidiary (MBS) or a non-depository institution that has an affiliation with a depository institution, this field indicates the 2 character state of the Parent Financial Institution submitting the HMDA data."
